"","Date","Blast.Day.Type","Holiday.Type","Time","City","Latitude","Longitude","Province","Location","Location.Category","Location.Sensitivity","Influencing.Event.Event","Target.Type","Targeted.Sect.if.any","Total.Died.Min","Total.Died.Max","Injured.Min","Injured.Max","No..of.Suicide.Blasts","Temperature.C.","Temperature.F.","Is_Suicide","Is_Drone"
"252","Saturday-March 13-2010","Working Day","","9:15:00 AM","Swat",35.2227,72.4258,"KPK","District court Checkpost","Police","High","","Police","None",14,17,52,"60","1",16.365,61.457,1,0
"253","Monday-March 29-2010","Working Day","","","Tank",32.226,70.3761,"KPK","office of Pro-govt tribal leader-Misbahhuddin mehsud","Government/Office Building","Medium","","Anti-Militants","Sunni",NA,2,NA,"2","1",16.64,61.952,1,0
"254","Monday-March 29-2010","Working Day","","","Bajaur Agency",34.8718,71.5249,"FATA","Lagharai area in Bajaur","Mobile","Low","Leader of anti-militants lashkar","Anti-Militants","Sunni",NA,2,5,"8","1",19.45,67.01,1,0
"255","Monday-April 5-2010","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","U.S. consulate peshwar","Foreign","High","","foreigner","Christian",6,8,NA,"0","1",23.135,73.643,1,0
"256","Monday-April 5-2010","Working Day","","12:00 noon","Lower Dir",34.8453,71.9046,"KPK","ANP rally in Timergara ","Hotel","Medium","","Government Official","None",50,56,75,"120","3",21.1,69.98,1,0
"257","Friday-April 16-2010","Working Day","","","Quetta",30.2095,67.0182,"Baluchistan","Quetta civil Hospital ","Hospital","Low","","Government Official","Shiite",NA,11,35,"40","1",25.14,77.252,1,0
"258","Saturday-April 17-2010","Working Day","","12:00:00 PM/11:55 AM","Kohat",33.5833,71.4333,"KPK","IDP camp-kacha Pakha area on Hangu Road Kohat","Park/Ground","Low","","Civilian","None",41,44,60,"70","2",28.745,83.741,1,0
"259","Sunday-April 18-2010","Holiday","Weekend","7:15:00 AM","Kohat",33.5833,71.4333,"KPK","Kohat Police Station","Police","High","","Police","None",NA,7,30,"32","1",26.62,79.916,1,0
"260","Monday-April 19-2010","Working Day","","12:30:00 PM","Peshawar",34.0043,71.5448,"KPK","Protest demonstration Qissa Khawani Bazaar","Park/Ground","Low","Jamit-i-Islam members","Anti-Militants","Sunni",23,24,27,"49","1",25.96,78.728,1,0
"261","Wednesday-April 28-2010","Working Day","","4:05:00 AM","Peshawar",34.0043,71.5448,"KPK","Pir Bala Police Check post ","Police","High","","Police","None",4,5,11,"14","1",26.47,79.646,1,0
"262","Saturday-May 1-2010","Holiday","Labour Day",NA,"Swat",35.2227,72.4258,"KPK","Sohrab Khan Market town Mingora ","Market","Low","","Civilian","None",3,7,9,"16","1",23.315,73.967,1,0
"263","Sunday-May 2-2010","Holiday","Weekend",NA,"Bajaur Agency",34.8718,71.5249,"FATA","Bilalabad area near Khar town","Military","High","","Military","None",NA,0,NA,"0","1",27.025,80.645,1,0
"264","Friday-May 28-2010","Working Day","",NA,"Lahore ",31.5451,74.3407,"Punjab","Model Town and garhi shahu  lahore ","Religious","Medium","","Civilian","Ahmedi",80,95,92,"200","1",31.495,88.691,1,0
"265","Thursday-July 1-2010","Working Day","","10:46:00 PM/11:00 PM","Lahore ",31.5451,74.3407,"Punjab","Data Darbar-Lahore","Religious","Medium","","Civilian","None",40,42,NA,"175","2",32.37,90.266,1,0
"266","Friday-July 9-2010","Working Day","",NA,"Mohmand Agency ",32.9746,70.1456,"FATA","Yakka Ghund Tehsil
of Mohmand Agency","Park/Ground","Low","","Government Official","None",65,80,104,"110","2",26.725,80.105,1,0
"267","Monday-July 12-2010","Working Day","",NA,"Kohat",33.5833,71.4333,"KPK","outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in Kohat District","Government","Low","","Government Official","None",NA,0,NA,"0","1",32.205,89.969,1,0
"268","Sunday-July 18-2010","Holiday","Weekend",NA,"Sargodha",32.0791,72.6718,"Punjab","Dar-ul-uloom muhamdia imambargh","Religious","Medium","","Religious","Shiite",3,4,9,"26","1",34.805,94.649,1,0
"269","Monday-July 26-2010","Working Day","",NA,"Nowshehra",34.0322,73.0944,"KPK","Nowshera near
Provincial Info Ministr house ","Residence","Medium","","Government Official","Sunni",NA,8,23,"25","1",31.52,88.736,1,0
"270","Wednesday-August 4-2010","Working Day","","around 4:30 PM","Peshawar",34.0043,71.5448,"KPK","FC chowk near Dean's trade center","Mobile","High",NA,"Military","None",3,4,11,"14","1",28.59,83.462,1,0
"271","Monday-August 23-2010","Working Day","","","South waziristan",32.3202,69.8597,"FATA","Wana-mosque","Religious","Medium","Pro-Government cleric","Anti-Militants","Sunni",26,30,NA,"40","1",25.23,77.414,1,0
"272","Wednesday-September 1-2010","Working Day","","6:55pm/7:00pm/7:10pm","Lahore ",31.5451,74.3407,"Punjab","1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk ","Park/Ground","Low","Yaum-e-Ali","Religious","Shiite",27,43,150,"243","3",31.97,89.546,1,0
"273","Friday-September 3-2010","Working Day","",NA,"Quetta",30.2095,67.0182,"Baluchistan","Mizan chowk Quetta","Park/Ground","Low","Al-Quds Rally organized by Imamia stdents organization","Civilian","None",54,62,150,"200","1",26.745,80.141,1,0
"274","Friday-September 3-2010","Working Day","",NA,"Mardan",34.1982,72.0444,"KPK","worship place of the Ahmedis in Muslimabad area ","Religious","Medium","","Religious","None",NA,1,NA,"4","1",27.875,82.175,1,0
"275","Monday-September 6-2010","Holiday","Defence Day","7:05:00 AM","lakki marwat",32.6018,70.9148,"KPK","lakki marwat Police Station","Police","High","","Police","None",15,19,34,"57","1",26.635,79.943,1,0
"276","Thursday-September 9-2010","Working Day","","12:30:00 PM","Quetta",30.2095,67.0182,"Baluchistan","Raily Housing Society
Near Finance Minnister
House Quetta","Residence","Medium","","Government Official","None",2,5,3,"6","1",25.8,78.44,1,0
"277","Thursday-October 7-2010","Working Day","","6:45:00 PM","Karachi",24.9918,66.9911,"Sindh","Shrine of Abdullah shah ghazi in Clifton","Religious","Medium","Attendess at shrine","Religious","Sunni",6,10,60,"77","2",30.45,86.81,1,0
"278","Monday-October 18-2010","Working Day","",NA,"Lakki marwat",32.6018,70.9148,"KPK","jabukhel village","Park/Ground","Low","police tried to stop the car but the driver exploded the car in residential area","civilian","None",NA,NA,5,"14","1",20.785,69.413,1,0
"279","Monday-November 1-2010","Working Day","","8:45:00 AM","Swabi ",34.1335,72.4702,"KPK","District Shahmanoor Police Lines Swabi","Police","High","","Police","None",2,5,10,"13","1",18.87,65.966,1,0
"280","Friday-November 5-2010","Working Day","","1:30:00 PM","Dara Adam khel",33.6854,71.5131,"KPK","Dara Adam Khel Corwded Mosque ","Religious","Medium","","Religious","Sunni",61,76,70,"132","1",20.1,68.18,1,0
"281","Thursday-November 11-2010","Working Day","","8:10:00 PM","Karachi ",24.9918,66.9911,"Sindh","Crime Investigation Department","Military","High","","Military","None",16,20,100,"140","1",28.175,82.715,1,0
"282","Thursday-November 11-2010","Working Day","",NA,"Poonch",33.8243,73.7949,"AJK","Rawalacot Security force vehicle","Mobile","Low","","Military","",NA,0,NA,"2","1",18.315,64.967,1,0
"283","Sunday-November 14-2010","Holiday","Weekend",NA,"South waziristan",32.3202,69.8597,"FATA","Shakai village ","Market","Low","","Anti-Militants","Sunni",NA,1,NA,"8","1",7.985,46.373,1,0
"284","Tuesday-November 30-2010","Working Day","","8:45:00 AM","Bannu",32.935,70.6688,"KPK","near furniture market-Banu","Mobile","High","police van crossing the chowk","Police","None",2,6,6,"22","1",9.975,49.955,1,0
"285","Monday-December 6-2010","Working Day","","2:00:00 PM","Mohmand Agency ",32.9746,70.1456,"Fata","Mohmad Agency-Ghalani area-Political 
Agent office ","Government","High","","Government Official","None",40,50,60,"100","2",5.08,41.144,1,0
"286","Tuesday-December 7-2010","Working Day","",NA,"Quetta",30.2095,67.0182,"Baluchistan","railway level crossing sryab pattak","Transport","Low","Minister Balochistan","Government Official","None",NA,NA,10,"12","1",4.51,40.118,1,0
"287","Wednesday-December 8-2010","Working Day","","1:00:00 PM","Kohat",33.5833,71.4333,"KPK","Kohat Bus stand","Transport","Low","","Civilian","None",18,20,NA,"32","1",12.205,53.969,1,0
"288","Friday-December 10-2010","Working Day","","4:00:00 PM","Hangu",33.5351,71.0713,"KPK","Pass Killay area-under construction Private Hospital","Hospital","Low","","civilian","None",10,17,16,"30","1",10.385,50.693,1,0
"289","Thursday-December 23-2010","Working Day","",NA,"Islamabad",33.718,73.0718,"Capital","Entrance to imambargah","Religious","Medium","","religious","Sunni",NA,1,NA,"2","1",11.73,53.114,1,0
"290","Friday-December 24-2010","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","Mall road peshawar","Police","High","Police was not sure about the bmbers target","Civilian","None",NA,4,NA,"24","1",10.845,51.521,1,0
"291","Saturday-December 25-2010","Holiday","Christmas/ birthday of Quaid-e-Azam",NA,"Bajaur Agency",34.8718,71.5249,"FATA","WFP office Khar","Foreign","High","target was police checkpost","Police","None",42,47,80,"105","1",9.705,49.469,1,0
"292","Monday-December 27-2010","Working Day","","Evening","Muzaffarabad",34.3597,73.4711,"AJK","Procession from Neelam Valley","Park/Ground","Medium","","religious","Shiite",NA,7,NA,"65","1",9.24,48.632,1,0
"293","Wednesday-January 12-2011","Working Day","","Evening","Bannu",32.935,70.6688,"KPK","Bannu Police Station","Religious","Medium","","civilian","Sunni",18,20,15,"20","1",7.775,45.995,1,0
"294","Tuesday-January 25-2011","Working Day","","Evening","Lahore",31.5451,74.3407,"Punjab","Urdu Bazar intersection on circular road","Police","High","Hazrat Imam Hussain Chehlum Procession","Religious","Shiite",11,17,71,"80","1",14.165,57.497,1,0
"295","Thursday-January 27-2011","Working Day","","","Bajaur Agency",34.8718,71.5249,"FATA","Sarameena area of Khar tehsil in the Bajaur Agency","Military","High","","Military","None",NA,0,NA,"0","1",10.395,50.711,1,0
"296","Monday-January 31-2011","Working Day","","Morning","Peshawar",34.0043,71.5448,"KPK","Kohat road Garhi Kamruddin over head bridge","Mobile","High","Police car","Police","None",5,7,14,"16","1",14.355,57.839,1,0
"297","Thursday-February 10-2011","Working Day","","8:00 AM/8:15:00 AM","Mardan",34.1982,72.0444,"KPK","Punjab Regiment Center","Military","High","","Military","None",28,36,35,"50","1",11.06,51.908,1,0
"298","Friday-February 11-2011","Working Day","","","Mohmand Agency ",32.9746,70.1456,"Fata","Dabo Dheri checkpost in Prang Ghar ","Police","High","","Police","None",NA,1,NA,"3","1",1.445,34.601,1,0
"299","Saturday-February 12-2011","Working Day","","Saturday Morning","Malakand ",34.503,71.9046,"KPK","Batakhel area","Residence","Low","security forces were trying to arest the bomber","Military","None",1,3,NA,"","1",8.305,46.949,1,0
"300","Saturday-February 19-2011","Working Day","","","Bannu",32.935,70.6688,"KPK","police station in bannu","Police","High","","Police","None",NA,NA,NA,"4","1",5.45,41.81,1,0
"301","Tuesday-March 1-2011","Working Day","","Night","Karachi",24.9918,66.9911,"Sindh","near MDA flats along national highway-in Shah Latif Town","Park/Ground","Low","","civilian","None",NA,0,NA,"0","1",23.53,74.354,1,0
"302","Thursday-March 3-2011","Working Day","","","Hangu",33.5351,71.0713,"KPK","spin khawri chowk","Mobile","Low","","Police","None",5,9,30,"36","1",9.565,49.217,1,0
"303","Wednesday-March 9-2011","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Adezai Village-sheikh Neka graveyard","Park/Ground","Low","","Anti-Militants","Sunni",37,43,NA,"52","1",18.605,65.489,1,0
"304","Thursday-March 24-2011","Working Day","","8:00 AM","Hangu",33.5351,71.0713,"KPK","Rescue 15 Building adjecent to police station in Thall","Police","High","","Police","None",5,8,25,"30","1",22.185,71.933,1,0
"305","Wednesday-March 30-2011","Working Day","","10:45 AM/ 11:00 AM","Swabi ",34.1335,72.4702,"KPK","Peshawar- Islamabad Motorway-Swabi Interchange","Police","High","","Government Official","None",10,13,12,"23","1",20.12,68.216,1,0
"306","Thursday-March 31-2011","Working Day","","12:45 PM","Charsadda",34.1509,71.7359,"KPK","Near DCO office-Nowshehra road","Park/Ground","Low","","Government Official","None",NA,12,20,"42","1",19.405,66.929,1,0
"307","Friday-April 1-2011","Working Day","","","Dara Adam khel",33.6854,71.5131,"KPK","near a mosque in Dara adam khel bazar-khalid market","Market","Low","peace committee members were present in mosque","Anti-Militants","Sunni",NA,1,2,"8","1",18.315,64.967,1,0
"308","Sunday-April 3-2011","Holiday","Weekend","around 5pm and second attack after 15min/5:16:00 PM and second attack after 25 min","D.G Khan ",30.05,70.6333,"KPK","sakhi arwar shrine-40 km away from D.G Khan","Religious","Medium","Urs ceremony","Religious","Sunni",42,50,100,"114","2",23.035,73.463,1,0
"309","Monday-April 4-2011","Working Day","","Monday After Noon","Lower Dir",34.8453,71.9046,"KPK","Bargain Car market in Munda area of Lower Dir District","Market","Low","","Anti-Militants","Sunni",7,9,22,"30","1",16.585,61.853,1,0
"310","Thursday-April 7-2011","Working Day","","7:50 AM","Quetta",30.2095,67.0182,"Baluchistan","Gulistan road-also known as police lines","Residence","Medium","","Police","None",NA,1,17,"19","1",20.76,69.368,1,0
"311","Saturday-April 23-2011","Working Day","","","Bajaur Agency",34.8718,71.5249,"FATA","Salarzai area-65 km northeast of khar","Mobile","Low","","Anti-Militants","Sunni",NA,5,5,"8","1",26.34,79.412,1,0
"312","Friday-May 13-2011","Working Day","","6:00 AM","Charsadda",34.1509,71.7359,"KPK","FC headquarters in Shabqadar-30km from peshawar","Military","High","FC personnel were gathered there","Military","None",82,95,128,"140","2",29.285,84.713,1,0
"313","Saturday-May 14-2011","Working Day","","11:20:00 AM/ 11:00 AM","D.G Khan ",30.05,70.6333,"KPK","MCB bank-Main bazar of Taunsa Sharif","Bank","Low","","civilian","None",NA,3,NA,"9","1",33.87,92.966,1,0
"314","Wednesday-May 25-2011","Working Day","","4:40 AM","Peshawar",34.0043,71.5448,"KPK","CID station","Police","High","","Police","None",8,11,41,"48","1",33.975,93.155,1,0
"315","Thursday-May 26-2011","Working Day","","6:00 PM","Hangu",33.5351,71.0713,"KPK","checkpoint close to Hangu police station and hangu DPO office","Police","High","","Police","None",28,32,55,"60","1",27.53,81.554,1,0
"316","Saturday-May 28-2011","Working Day","","10:00 AM","Bajaur Agency",34.8718,71.5249,"FATA","Bajaur Agency's salarzai village-near Afghan border","Market","Low","","Anti-Militants","Sunni",NA,8,NA,"11","1",30.06,86.108,1,0
"317","Sunday-June 5-2011","Holiday","Weekend","8:45 PM","Nowshehra",34.0322,73.0944,"KPK","Army run Bakery on Mall road-Nowshehra cantt","Military","High","","Military","None",18,19,28,"45","1",32.48,90.464,1,0
"318","Sunday-June 12-2011","Holiday","Weekend","11:45 PM","Peshawar",34.0043,71.5448,"KPK","Khyber super market-peshawar cantt","Market","Low","","Civilian","None",32,35,80,"107","1",31.05,87.89,1,0
"319","Monday-June 13-2011","Working Day","","3:00 PM","Islamabad",33.718,73.0718,"Capital","silk bank in I-8 markaz","Bank","Low","","Civilian","None",1,2,4,"6","1",32.085,89.753,1,0
"320","Saturday-June 25-2011","Working Day","","","D.I Khan ",31.8238,70.9095,"KPK","Kolache Town","Police","High","","Police","None",NA,10,3,"5","1",32.925,91.265,1,0
"321","Monday-July 11-2011","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Bazar in Central Battagram","Market","Low","","Government Official","None",NA,7,25,"26","1",31.545,88.781,1,0
"322","Thursday-July 21-2011","Working Day","","","South waziristan",32.3202,69.8597,"FATA","South waziristan","Mobile","Low","","Foreigner",NA,NA,NA,NA,"2","1",24.3,75.74,1,0
"323","Sunday-July 24-2011","Holiday","Weekend","","South waziristan",32.3202,69.8597,"FATA","Security Checkpost in chak Malai Area","Military","High","","Military",NA,NA,1,NA,"7","1",25.195,77.351,1,0
"324","Saturday-August 6-2011","Working Day","","","Mohmand Agency ",32.9746,70.1456,"Fata","Danish Kol Bazaar Pandyali","Market","Low","","Military",NA,NA,1,NA,"0","1",24.745,76.541,1,0
"325","Thursday-August 11-2011","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Check post near lahori gate","Police","High","","Police",NA,0,2,NA,"12","1",30.1,86.18,1,0
"326","Friday-August 19-2011","Working Day","","Friday prayer time","Khyber Agency",34.0211,71.2874,"KPK","Jamia Masjid Madina in Ghundi Area of Jamrud","Religious","Medium","","Civilian",NA,47,60,70,"130","1",30.6,87.08,1,0
"327","Wednesday-August 31-2011","Holiday","Eid-ul-Fitar","Wednesday Morning just after offering Eid prayers","Quetta",30.2095,67.0182,"Baluchistan","near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.","Religious","Medium","","religious","Shiite",11,13,12,"25","1",25.59,78.062,1,0
"328","Thursday-September 1-2011","Holiday","Eid-ul-Fitar","Thursday night ","Lakki marwat",32.6018,70.9148,"KPK","near a police station in Darra Pezu Town","Police","High","","Police",NA,3,2,14,"25","1",20.84,69.512,1,0
"329","Wednesday-September 7-2011","Working Day","","","Quetta",30.2095,67.0182,"Baluchistan","FC DIG's residence at Anscumb road ","Military","High","","Military",NA,26,28,60,"82","2",28.465,83.237,1,0
"330","Thursday-September 15-2011","Working Day","","After noon","Lower Dir",34.8453,71.9046,"KPK","Jandola Town in Lower Dir-100 km from swat valley","Park/Ground","Low","","Civilian",NA,26,34,63,"75","1",27.235,81.023,1,0
"331","Monday-September 19-2011","Working Day","","7:30 AM","karachi",24.9918,66.9911,"Sindh","Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP","Police","High","","Police",NA,NA,8,4,"7","1",29.195,84.551,1,0
"332","Friday-October 28-2011","Working Day","","","Nowshehra",34.0322,73.0944,"KPK","Risalpur area of the Nowshera district","Police","","","Police",NA,NA,2,NA,"","1",17.535,63.563,1,0
"333","Monday-November 7-2011","Working Day","","","Swabi ",34.1335,72.4702,"KPK","Malikabad area of Swabi","Government Official","","","Government Official","",NA,3,NA,"9","",19.065,66.317,1,0
"334","Wednesday-November 16-2011","Working Day","","","Karachi",24.9918,66.9911,"Sindh","Sea view-clifton-at lover's point adjacent to village hotel","Mobile","low","","Police","None",5,7,NA,"1","1",25.305,77.549,1,0
"335","Friday-November 18-2011","Working Day","","3:38AM","Karachi",24.9918,66.9911,"Sindh","Block 13-near Pehlwan Goth roundabout-Gulistan-e-Jauhar","Residence","low","","Military","None",NA,1,NA,"","1",27.245,81.041,1,0
"336","Saturday-December 24-2011","Working Day","","5:30 AM/5:40 AM","Bannu",32.935,70.6688,"KPK","Tochi Scouts headquarters in Bannu","Military","High","","Military","None",4,6,18,"19","1",7.28,45.104,1,0
"337","Tuesday-January 3-2012","Working Day","","1:00 PM","Gujrat",32.5737,74.0786,"Punjab","Gorali village-4 km from Gujrat","Park/Ground","Low","","Civilian","None",NA,2,NA,"","1",10.935,51.683,1,0
"338","Tuesday-January 3-2012","Working Day","","2:00 PM","Peshawar",34.0043,71.5448,"KPK","trade center on arbab road in university town","Market","Low","","Civilian","None",NA,2,19,"28","1",12.07,53.726,1,0
"339","Tuesday-January 3-2012","Working Day","","2:15 PM","Khyber Agency",34.0211,71.2874,"FATA","landikotal town","Market","Low","","Civilian","None",NA,3,7,"9","1",11.285,52.313,1,0
"340","Saturday-January 14-2012","Working Day","","2:00 PM","D.I Khan",31.8238,70.9095,"KPK","District police officer's office","Police","High","","Police","None",4,8,7,"10","3",6.71,44.078,1,0
"341","Monday-January 30-2012","Working Day","","4:00 PM","Peshawar",34.0043,71.5448,"KPK","Pakha Ghullam area","Residence","Low","","Anti-Militants","None",3,4,7,"8","1",11.325,52.385,1,0
"342","Friday-February 17-2012","Working Day","","2:00 PM","Kuram Agency ",32.9746,70.1456,"FATA","Parachinar Outside Shia Mousque","Market","Low","","Civilian","Shiite",21,28,NA,"36","1",0.04,32.072,1,0
"343","Thursday-February 16-2012","Working Day","","","Upper Dir",35.1977,71.8749,"FATA","Dir Town in Northwestren Districk of Upperdir near Afghan Boarder","Market","Low","","Civilian","None",1,1,3,"3","1",4.985,40.973,1,0
"344","Friday-February 24-2012","Working Day","","","Peshawar",34.0043,71.5448,"KPK","C-Division Police Station (Kotwali police Stataion)","Police","High","","Police","None",0,4,NA,"6","3",9.905,49.829,1,0
"345","Saturday-March 3-2012","Holiday","Weekend","","Peshawar",34.0043,71.5448,"KPK","Shabqadar town 35KM northeast of Peshawar","Mobile","High","","Government Official","None",0,1,NA,"6","1",16.955,62.519,1,0
"346","Sunday-March 4-2012","Holiday","Weekend","","D.I Khan",31.8238,70.9095,"KPK","Police patrol in main market area of D.I Khan KPK","Mobile","Low","","Police","None",NA,0,NA,"3","1",15.735,60.323,1,0
"347","Sunday-March 11-2012","Holiday","Weekend","","Peshawar",34.0043,71.5448,"KPK","Badaber Area 15Km from Peshawer","Park/Ground","Low","","Government Official","None",14,15,30,"33","1",13.33,55.994,1,0
"348","Thursday-March 15-2012","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Pishtakhara Square-Close to Bara-Khayber Aagency","Police","Low","","Police","None",1,1,2,"5","1",15.75,60.35,1,0
"349","Friday-March 23-2012","Working Day","","","Khyber Agency",34.0211,71.2874,"KPK","Akkakhel area of Bara in Khyber Agency","Religious","Low","","Anti-Militants","None",5,13,9,"10","1",19.65,67.37,1,0
"350","Thursday-April 5-2012","Working Day","","7:56 PM","Karachi",24.9918,66.9911,"Sindh","Garision Area of Malir","Mobile","Low","","Police","None",4,7,12,"14","1",31.345,88.421,1,0
"351","Friday-May 4-2012","Working Day","","7:45 AM","Bajaur Agency",34.8718,71.5249,"FATA","security checkpoint in the middle of Khar Bazaar ","Market","Low","","Police","None",24,26,40,"75","1",24.58,76.244,1,0
"352","Tuesday-June 12-2012","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Bazidkhel Village-Badhaber Area","Mobile","Low","","Anti-Militants","None",2,3,NA,"5","1",30.605,87.089,1,0
"353","Thursday-June 28-2012","Working Day","","","Quetta",30.2095,67.0182,"Baluchistan","Hazar Ganji Area","Mobile","Low","","Religious","Shiite",13,14,20,"30","1",28.455,83.219,1,0
"354","Monday-July 16-2012","Working Day","","9:30AM","Bannu",32.935,70.6688,"KPK","Old City Police Station","Police","High","","Police","None",2,7,2,"8","1",24.555,76.199,1,0
"355","Monday-September 3-2012","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Abdara Road","foreign","Low","","Foreigner","None",0,2,18,"21","1",29.015,84.227,1,0
"356","Monday-September 10-2012","Working Day","","2:40pm","Kuram Agency ",32.9746,70.1456,"FATA","Kashmir Chowk-Parachinar","Market","Low","","Civilian","None",14,15,40,"80","1",19.935,67.883,1,0
"357","Saturday-October 13-2012","Holiday","Weekend","10:35am","Dara Adam khel",33.6854,71.5131,"KPK","Darra Bazar-Near Headquarters of Pro-Ggovernment Peac Body","Market","Medium","","Anti-Militants","None",13,20,39,"41","1",23.495,74.291,1,0
"358","Sunday-November 4-2012","Holiday","Weekend","2:00 PM / 2:30 PM","Buner",34.3943,72.6151,"KPK","Near District Headquarters Hospital in Daggar Area","Mobile","Low","","Anti-Militants","None",5,6,7,"10","1",19.195,66.551,1,0
"359","Wednesday-November 7-2012","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Near Khan Razzaq Police Station-Qissa Khawani Bazaar","Mobile","High","","Police","None",6,8,28,"37","1",19.825,67.685,1,0
"360","Thursday-November 8-2012","Working Day","","6:55am","Karachi",24.9918,66.9911,"Sindh","Sachal Rangers' Headquarters-North Nazimabad Block B Area","Military","High","","Military","None",0,3,18,"23","1",25.995,78.791,1,0
"361","Monday-November 19-2012","Working Day","","","Mohmand Agency ",32.9746,70.1456,"FATA","Ghaiba Khwar Area of Haleemzai Tehsil","Mobile","Low","","Government Official","None",0,0,3,"4","1",7.52,45.536,1,0
"362","Wednesday-November 21-2012","Working Day","","6:15pm","Karachi",24.9918,66.9911,"Sindh","Orangi Town Sec-5E-Near Haider-e-Qarrar Imambargah","Religious","High","Muharram Procession","Religious","Shiite",3,4,4,"7","1",22.22,71.996,1,0
"363","Wednesday-November 21-2012","Working Day","","","Rawalpindi",33.6058,73.0437,"Punjab","Imambargah Qasar-e-Shabbir in Dhok Syedan-Misrial Road","Religious","High","Muharram Procession","Religious","Shiite",12,20,25,"40","1",16.795,62.231,1,0
"364","Sunday-November 25-2012","Holiday","Ashura","","D.I Khan",31.8238,70.9095,"KPK","Commissionary Bazaar-Choglia Area","Market","High","Muharram Procession","religious","Shiite",5,6,70,"80","1",12.21,53.978,1,0
"365","Thursday-November 29-2012","Working Day","",NA,"South Waziristan",32.3202,69.8597,"FATA","Rustam Bazaar","Mobile","Low","","Anti-Militants","None",5,8,10,"18","1",3.895,39.011,1,0
"366","Tuesday-December 4-2012","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Haved Police Station Bannu","Police","High","","Police","None",NA,NA,6,"10","1",15.435,59.783,1,0
"367","Wednesday-December 5-2012","Working Day","","6:30AM","South waziristan",32.3202,69.8597,"FATA","Zaree Noor Camp-Angoor Adda Rd","Military","High","","Military","None",2,3,20,"25","1",7.1,44.78,1,0
"368","Saturday-December 22-2012","Holiday","Weekend","","Peshawar",34.0043,71.5448,"KPK","Dhaki Nalbandi Area-Qissa Khwani Bazar","Residence","High","","Government Official","None",NA,9,17,"20","1",15.065,59.117,1,0
"369","Thursday-January 10-2013","Working Day","","","Quetta",30.2095,67.0182,"Baluchistan","Two suicide bombers blew themselves up at a crowded snooker club on Alamdar Road","Market","High","","Civilian","Shiite",51,93,116,"121","2",9.06,48.308,1,0
"370","Friday-February 1-2013","Working Day","","Friday prayer time","Hangu",33.5351,71.0713,"KPK","Masjid Faizullah and Masjid Purdil near Marketplace","Religious","High","Possibley anti-taliban Sunni Council","Civilian","Sunni",24,27,40,"50","1",10.79,51.422,1,0
"371","Thursday-February 14-2013","Working Day","","","Hangu",33.5351,71.0713,"KPK","Security checkpost located in Tal area of Hangu ","Military","High","FC check post","Military","None",7,NA,8,"23","1",12.12,53.816,1,0
"372","Thursday-February 14-2013","Working Day","","","Bannu",32.935,70.6688,"KPK","Maryan police station in Frontier Region Bannu","Police","High","TTP avenged killing of their fighters in custody and bodies thrown in Miramshah","Police","None",0,0,1,"","4",8.31,46.958,1,0
"373","Saturday-February 16-2013","Working Day","Weekend","6:00pm","Quetta",30.2095,67.0182,"Baluchistan","Kirani Road near Hazara Town","Market","Medium","","Civilian","Shiite",64,84,180,"200","1",5.49,41.882,1,0
"374","Monday-February 18-2013","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Khyber Agency's Political Agent Office in Peshawar","Office Building","High","","Government Official","None",5,NA,7,"","2",15.55,59.99,1,0
"375","Monday-March 18-2013","Working Day","","12:10pm","Peshawar",34.0043,71.5448,"KPK","Judicial Complex loacated on Khyber Road","Office Building","High","Court Proceeding","Government Official","None",2,4,22,"47","2",18.725,65.705,1,0
"376","Saturday-March 23-2013","Holiday","Pakistan Day","","North waziristan",32.9746,70.1456,"FATA","Security Checkpost near Miramshah","Military","High","Tochi Scouts Check Post Building","Military","None",8,22,20,"35","1",6.44,43.592,1,0
"377","Friday-March 29-2013","Working Day","","","Peshawar",34.0043,71.5448,"KPK","Near security check post Saddar Cantt area of Peshawar","Market","High","FC convoy","Military","None",5,12,11,"35","",21.525,70.745,1,0
"378","Tuesday-April 16-2013","Working Day","","","Peshawar",34.0043,71.5448,"KPK","The bomb blast took place in Yakatoot in Kotwali Abid Khan","Market","High","Election campain gathering of a Secular Party","Civilian","None",16,18,49,"60","1",22.805,73.049,1,0
"379","Tuesday-April 16-2013","Working Day","","5:30pm","North waziristan",32.9746,70.1456,"FATA","Near Dirdhoni Check Post","Military","High","Military Convoy","Military","None",7,9,8,"18","1",16.9,62.42,1,0
